customerId,user_classes
16446,light
16738,normal
14285,super_light
15863,super_light
17956,light
17763,light
15885,normal
15823,normal
17816,normal
12970,normal
16042,normal
13283,super_light
17102,light
13120,light
17024,super_light
13573,light
17408,super_light
16765,normal
14576,normal
15940,normal
15414,light
14865,normal
16162,light
18018,light
12855,normal
16659,light
12977,super_light
14589,normal
15178,light
16257,super_light
13058,super_light
13669,super_light
14821,normal
13011,normal
16414,light
14351,super_light
18273,light
14682,light
15206,light
16349,normal
13892,light
15899,normal
17775,light
13080,super_light
14957,light
13682,super_light
13391,light
17174,light
17339,normal
16386,light
14840,light
12665,normal
14437,normal
17263,light
13302,super_light
13666,normal
13917,super_light
13684,light
14393,light
16462,light
18252,super_light
18037,light
16861,super_light
13185,light
13686,super_light
17906,light
18032,normal
12506,light
17960,super_light
18050,normal
13792,normal
16610,light
17995,light
15668,light
17080,light
16148,normal
14090,normal
18113,normal
17536,super_light
14373,normal
13132,light
17928,light
17988,light
16078,light
15753,normal
13747,normal
14765,super_light
17752,normal
13967,super_light
18281,super_light
16835,normal
14287,light
12401,normal
14819,super_light
15729,light
13841,light
14473,light
16690,light
15180,normal
13643,super_light
15083,light
14960,super_light
12353,light
13003,light
12686,normal
14760,normal
12695,light
15552,light
14353,light
15124,super_light
15754,light
13551,normal
12821,light
16778,light
17991,normal
18227,light
15397,normal
14111,light
16387,normal
12548,super_light
16620,light
17325,light
14798,light
14761,normal
17371,normal
15422,normal
15256,super_light
17939,super_light
13703,normal
17898,light
14371,normal
16498,light
16344,super_light
13101,light
18086,light
16006,light
17643,normal
18068,normal
15212,light
13948,normal
14981,light
15101,normal
14448,normal
18011,normal
16892,super_light
14542,super_light
17548,light
15689,normal
16519,normal
13242,normal
15607,normal
15775,light
15366,normal
16581,super_light
17376,normal
15070,normal
13787,normal
14538,light
16757,normal
15395,normal
12956,normal
13226,light
17639,light
14699,light
14805,normal
13133,normal
18135,light
16339,normal
13565,normal
14984,super_light
17746,light
14396,normal
16792,normal
12734,normal
15901,super_light
16963,light
17370,super_light
13211,normal
17349,super_light
18036,light
15537,super_light
13144,normal
13508,light
14379,normal
18120,light
18270,light
17900,light
17893,light
14271,light
16205,super_light
17783,light
17255,normal
18129,light
13807,normal
17430,normal
13161,normal
16697,light
14689,light
17266,super_light
16852,super_light
15280,super_light
16913,normal
17217,light
15445,light
14457,normal
12651,normal
14173,light
16298,light
14632,light
16247,super_light
14784,normal
17786,normal
15350,normal
17771,normal
17601,light
17117,normal
