ym,rev_bin,user_type,cust_cnt
2010-12,cust_1,new_user,519
2010-12,cust_2,new_user,813
2010-12,cust_3,new_user,316
2010-12,cust_4,new_user,217
2010-12,cust_5,new_user,16
2010-12,cust_6,new_user,445
2011-01,cust_1,new_user,267
2011-01,cust_1,old_user,224
2011-01,cust_2,new_user,379
2011-01,cust_2,old_user,292
2011-01,cust_3,new_user,131
2011-01,cust_3,old_user,135
2011-01,cust_4,new_user,73
2011-01,cust_4,old_user,95
2011-01,cust_5,new_user,5
2011-01,cust_5,old_user,9
2011-01,cust_6,new_user,222
2011-01,cust_6,old_user,196
2011-02,cust_1,new_user,221
2011-02,cust_1,old_user,238
2011-02,cust_2,new_user,344
2011-02,cust_2,old_user,341
2011-02,cust_3,new_user,107
2011-02,cust_3,old_user,159
2011-02,cust_4,new_user,62
2011-02,cust_4,old_user,109
2011-02,cust_5,new_user,3
2011-02,cust_5,old_user,12
2011-02,cust_6,new_user,212
2011-02,cust_6,old_user,201
2011-03,cust_1,new_user,263
2011-03,cust_1,old_user,320
2011-03,cust_2,new_user,426
2011-03,cust_2,old_user,468
2011-03,cust_3,new_user,134
2011-03,cust_3,old_user,220
2011-03,cust_4,new_user,80
2011-03,cust_4,old_user,134
2011-03,cust_5,new_user,3
2011-03,cust_5,old_user,16
2011-03,cust_6,new_user,236
2011-03,cust_6,old_user,287
2011-04,cust_1,new_user,178
2011-04,cust_1,old_user,353
2011-04,cust_2,new_user,286
2011-04,cust_2,old_user,509
2011-04,cust_3,new_user,83
2011-04,cust_3,old_user,206
2011-04,cust_4,new_user,46
2011-04,cust_4,old_user,131
2011-04,cust_5,new_user,1
2011-04,cust_5,old_user,12
2011-04,cust_6,new_user,158
2011-04,cust_6,old_user,304
2011-05,cust_1,new_user,177
2011-05,cust_1,old_user,485
2011-05,cust_2,new_user,264
2011-05,cust_2,old_user,721
2011-05,cust_3,new_user,91
2011-05,cust_3,old_user,327
2011-05,cust_4,new_user,42
2011-05,cust_4,old_user,192
2011-05,cust_5,new_user,4
2011-05,cust_5,old_user,19
2011-05,cust_6,new_user,135
2011-05,cust_6,old_user,417
2011-06,cust_1,new_user,163
2011-06,cust_1,old_user,496
2011-06,cust_2,new_user,225
2011-06,cust_2,old_user,701
2011-06,cust_3,new_user,60
2011-06,cust_3,old_user,280
2011-06,cust_4,new_user,32
2011-06,cust_4,old_user,163
2011-06,cust_5,new_user,5
2011-06,cust_5,old_user,14
2011-06,cust_6,new_user,108
2011-06,cust_6,old_user,343
2011-07,cust_1,new_user,130
2011-07,cust_1,old_user,511
2011-07,cust_2,new_user,174
2011-07,cust_2,old_user,700
2011-07,cust_3,new_user,45
2011-07,cust_3,old_user,304
2011-07,cust_4,new_user,27
2011-07,cust_4,old_user,160
2011-07,cust_5,new_user,1
2011-07,cust_5,old_user,24
2011-07,cust_6,new_user,82
2011-07,cust_6,old_user,365
