柳丰斥档,林惑捍内靛,己喊,楷飞焙,券磊荐,疙技辑 没备扒荐,夸剧鞭咯厚侩醚咀,焊氰磊何淬陛
2018,A00,巢,01_0~4技,2,2,40550 ,27150 
2018,A00,巢,02_5~9技,3,3,58040 ,40340 
2018,A00,巢,03_10~14技,2,2,31650 ,17450 
2018,A00,巢,05_20~24技,2,2,123710 ,65110 
2018,A00,巢,06_25~29技,1,1,41810 ,29310 
2018,A00,巢,08_35~39技,3,3,4121270 ,3520170 
2018,A00,巢,09_40~44技,1,1,1755560 ,1335990 
2018,A00,巢,10_45~49技,1,1,57690 ,40390 
2018,A00,巢,12_55~59技,2,2,65590 ,43690 
2018,A00,巢,13_60~64技,4,4,310950 ,232890 
2018,A00,巢,15_70~74技,1,1,10950 ,9450 
2018,A00,巢,16_75~79技,1,1,35050 ,17550 
2018,A00,咯,01_0~4技,3,3,627310 ,580840 
2018,A00,咯,02_5~9技,1,1,25650 ,2750 
2018,A00,咯,03_10~14技,1,1,19110 ,13410 
2018,A00,咯,05_20~24技,2,2,255630 ,129930 
2018,A00,咯,06_25~29技,4,4,1956640 ,1634230 
2018,A00,咯,07_30~34技,2,4,1269410 ,925920 
2018,A00,咯,08_35~39技,3,3,252230 ,183730 
2018,A00,咯,09_40~44技,2,2,99780 ,75080 
2018,A00,咯,11_50~54技,4,5,776500 ,633580 
2018,A00,咯,12_55~59技,6,6,321820 ,236220 
2018,A00,咯,14_65~69技,3,4,2686590 ,2131520 
2018,A00,咯,15_70~74技,1,1,2503520 ,1873610 
2018,A00,咯,16_75~79技,1,1,7210 ,4410 
2018,A00,咯,17_80~84技,1,1,10950 ,9450 
2018,A01,巢,01_0~4技,2,2,3725670 ,3289130 
2018,A01,巢,02_5~9技,7,28,7088180 ,6304100 
2018,A01,巢,03_10~14技,8,13,13494590 ,12438530 
2018,A01,巢,04_15~19技,6,13,17620870 ,14420340 
2018,A01,巢,05_20~24技,17,34,35785080 ,28895090 
2018,A01,巢,06_25~29技,16,21,33651860 ,26840830 
2018,A01,巢,07_30~34技,10,17,19132080 ,15653190 
2018,A01,巢,08_35~39技,5,17,4602910 ,3301310 
2018,A01,巢,09_40~44技,6,13,10334820 ,8005400 
2018,A01,巢,10_45~49技,9,15,15720740 ,12031260 
2018,A01,巢,11_50~54技,11,31,50978620 ,41288850 
2018,A01,巢,12_55~59技,13,23,34101100 ,26924390 
2018,A01,巢,13_60~64技,7,13,29812370 ,23283940 
2018,A01,巢,14_65~69技,7,10,15926740 ,12780470 
2018,A01,巢,15_70~74技,5,13,9328660 ,7179520 
