柳丰斥档,林惑捍内靛,己喊,楷飞焙,券磊荐,疙技辑 没备扒荐,夸剧鞭咯厚侩醚咀,焊氰磊何淬陛
2020,A00,巢,01_0~4技,3,3,58930,47430
2020,A00,巢,02_5~9技,10,10,539670,441270
2020,A00,巢,03_10~14技,1,1,32700,31200
2020,A00,巢,04_15~19技,5,6,2980100,2754840
2020,A00,巢,05_20~24技,1,1,16140,11340
2020,A00,巢,06_25~29技,1,2,56020,39320
2020,A00,巢,07_30~34技,1,1,16140,11340
2020,A00,巢,08_35~39技,3,5,157660,109660
2020,A00,巢,09_40~44技,2,2,36710,23610
2020,A00,巢,10_45~49技,5,5,151430,92930
2020,A00,巢,11_50~54技,3,5,118490,84290
2020,A00,巢,12_55~59技,3,5,4583790,3720330
2020,A00,巢,13_60~64技,1,1,868180,676460
2020,A00,巢,14_65~69技,1,1,11540,10040
2020,A00,巢,17_80~84技,1,1,13610,12110
2020,A00,巢,18_85技 捞惑,1,1,5770,3770
2020,A00,咯,01_0~4技,2,2,34470,27370
2020,A00,咯,02_5~9技,10,10,439970,359910
2020,A00,咯,03_10~14技,2,3,226850,176850
2020,A00,咯,04_15~19技,1,2,22940,16140
2020,A00,咯,05_20~24技,3,4,294630,221760
2020,A00,咯,06_25~29技,2,2,33590,23590
2020,A00,咯,08_35~39技,1,1,16140,11340
2020,A00,咯,11_50~54技,1,1,16140,11340
2020,A00,咯,13_60~64技,3,4,80450,56650
2020,A00,咯,14_65~69技,4,4,58370,47870
2020,A00,咯,15_70~74技,1,2,31820,28520
2020,A00,咯,16_75~79技,1,1,7517730,5934610
2020,A00,咯,17_80~84技,1,1,21500,10800
2020,A00,咯,18_85技 捞惑,4,5,51900,34900
2020,A01,巢,01_0~4技,3,3,3107160,2951260
2020,A01,巢,03_10~14技,4,5,6676520,6090990
2020,A01,巢,04_15~19技,3,7,12930820,10084200
2020,A01,巢,05_20~24技,4,4,18482170,14579580
2020,A01,巢,06_25~29技,6,16,6571980,5127920
2020,A01,巢,07_30~34技,3,4,11867320,9944730
2020,A01,巢,08_35~39技,1,1,44380,33950
2020,A01,巢,09_40~44技,5,11,13413660,10333810
2020,A01,巢,10_45~49技,4,9,7922980,6288100
2020,A01,巢,11_50~54技,6,13,27345020,21166090
2020,A01,巢,12_55~59技,3,45,4653620,2542820
2020,A01,巢,13_60~64技,4,12,11767020,9143880
2020,A01,巢,14_65~69技,1,5,3303390,2488940
2020,A01,巢,16_75~79技,5,9,12650240,10020020
2020,A01,巢,17_80~84技,1,1,4874940,4083260
2020,A01,巢,18_85技 捞惑,1,1,27570,19370
2020,A01,咯,01_0~4技,4,7,1577140,1428320
2020,A01,咯,02_5~9技,1,3,140480,101380
2020,A01,咯,03_10~14技,1,1,22740,3140
2020,A01,咯,04_15~19技,4,5,163120,99220
2020,A01,咯,05_20~24技,14,40,20255890,15775310
2020,A01,咯,06_25~29技,6,12,15793040,12629960
2020,A01,咯,07_30~34技,8,18,14624470,12040000
2020,A01,咯,08_35~39技,8,13,4227440,3362790
2020,A01,咯,09_40~44技,5,6,4139600,3326930
2020,A01,咯,10_45~49技,10,13,7343180,5820640
2020,A01,咯,11_50~54技,2,2,2020510,1696410
2020,A01,咯,12_55~59技,9,18,11318680,9131270
2020,A01,咯,13_60~64技,6,8,6959070,5627170
2020,A01,咯,14_65~69技,4,6,9346140,7647640
2020,A01,咯,15_70~74技,3,3,4501650,3647090
2020,A01,咯,16_75~79技,4,5,17568970,14543430
2020,A02,巢,01_0~4技,411,744,445316350,391884110
2020,A02,巢,02_5~9技,318,556,343399930,299206580
2020,A02,巢,03_10~14技,167,288,189123830,164644620
2020,A02,巢,04_15~19技,94,154,56537720,44913130
2020,A02,巢,05_20~24技,101,144,27409770,21366590
2020,A02,巢,06_25~29技,101,130,25691060,19883520
2020,A02,巢,07_30~34技,74,97,29577810,23468440
2020,A02,巢,08_35~39技,79,102,29609500,23384600
2020,A02,巢,09_40~44技,75,100,34834850,27357570
2020,A02,巢,10_45~49技,64,99,38584740,29844930
2020,A02,巢,11_50~54技,88,127,80405480,62099160
2020,A02,巢,12_55~59技,130,202,119819710,90988760
2020,A02,巢,13_60~64技,126,222,118089860,90672560
2020,A02,巢,14_65~69技,90,162,141078800,110100860
2020,A02,巢,15_70~74技,72,133,87510680,69435500
2020,A02,巢,16_75~79技,61,124,131531740,104441580
2020,A02,巢,17_80~84技,34,78,34647130,27037760
2020,A02,巢,18_85技 捞惑,20,38,43195250,33665780
2020,A02,咯,01_0~4技,343,640,399533170,351017340
2020,A02,咯,02_5~9技,222,396,237393800,210029590
2020,A02,咯,03_10~14技,103,175,95826460,85798890
2020,A02,咯,04_15~19技,88,146,42922900,33290430
2020,A02,咯,05_20~24技,106,141,23758440,18143680
2020,A02,咯,06_25~29技,128,173,31555220,24314810
2020,A02,咯,07_30~34技,98,137,25863540,19407500
2020,A02,咯,08_35~39技,92,116,26326080,20466180
2020,A02,咯,09_40~44技,75,122,14271620,11238680
2020,A02,咯,10_45~49技,121,167,34166590,26428640
2020,A02,咯,11_50~54技,136,258,64801050,49318750
2020,A02,咯,12_55~59技,147,252,87184490,68017630
2020,A02,咯,13_60~64技,141,279,114077500,88269220
2020,A02,咯,14_65~69技,93,156,94975930,74741250
2020,A02,咯,15_70~74技,94,182,98709180,77234200
2020,A02,咯,16_75~79技,56,101,95013890,78080990
2020,A02,咯,17_80~84技,49,79,46137630,37309290
2020,A02,咯,18_85技 捞惑,30,46,46279040,36365920
2020,A03,巢,01_0~4技,1,1,1367510,1267870
2020,A03,巢,02_5~9技,5,5,5795090,5380990
2020,A03,巢,03_10~14技,1,2,532480,490000
2020,A03,巢,04_15~19技,2,2,1851020,1716550
2020,A03,巢,05_20~24技,1,1,20140,14140
2020,A03,巢,06_25~29技,2,2,290730,148730
2020,A03,巢,07_30~34技,2,3,931220,465720
2020,A03,巢,09_40~44技,1,1,17120,8620
2020,A03,巢,10_45~49技,1,1,18210,12810
2020,A03,巢,12_55~59技,3,4,1679070,1365210
2020,A03,巢,13_60~64技,4,5,156570,112470
2020,A03,巢,14_65~69技,1,1,29030,14530
2020,A03,巢,15_70~74技,6,8,250630,145530
2020,A03,巢,16_75~79技,2,2,1961900,1516290
2020,A03,咯,01_0~4技,4,6,4540990,4186710
2020,A03,咯,02_5~9技,7,11,6551140,5669580
2020,A03,咯,03_10~14技,5,12,6741010,5815400
2020,A03,咯,04_15~19技,5,12,4886160,4097920
2020,A03,咯,06_25~29技,2,2,91490,47490
2020,A03,咯,07_30~34技,1,1,2852310,2318830
2020,A03,咯,08_35~39技,1,1,11540,8140
2020,A03,咯,09_40~44技,1,1,277860,222290
2020,A03,咯,10_45~49技,4,4,153860,108060
2020,A03,咯,11_50~54技,5,5,2747950,2194080
2020,A03,咯,12_55~59技,5,6,5237170,4265440
2020,A03,咯,13_60~64技,8,9,6211430,5033650
2020,A03,咯,14_65~69技,3,3,80410,57810
2020,A03,咯,15_70~74技,3,6,107740,65640
2020,A03,咯,16_75~79技,1,1,1371980,1053070
2020,A03,咯,17_80~84技,1,1,7426510,6160060
2020,A03,咯,18_85技 捞惑,3,3,2987600,2308670
2020,A04,巢,01_0~4技,5009,8093,1516202750,1344662660
2020,A04,巢,02_5~9技,5636,7812,1195438940,1019862680
2020,A04,巢,03_10~14技,9159,12490,1274159100,1072168990
2020,A04,巢,04_15~19技,17557,24276,1482254570,1122768060
2020,A04,巢,05_20~24技,19819,25540,1417908630,1027082380
2020,A04,巢,06_25~29技,24893,30829,1589746660,1143580500
2020,A04,巢,07_30~34技,20207,25107,1090866000,768101050
2020,A04,巢,08_35~39技,19400,24434,1109018250,784160210
2020,A04,巢,09_40~44技,15711,20322,981838230,698352970
2020,A04,巢,10_45~49技,15014,20231,1086012820,792163320
2020,A04,巢,11_50~54技,14076,19221,1053197030,760816580
2020,A04,巢,12_55~59技,14497,20738,1322710030,974559320
2020,A04,巢,13_60~64技,14445,21378,1501720200,1127653690
2020,A04,巢,14_65~69技,12097,19267,1401034340,1114700590
2020,A04,巢,15_70~74技,9848,16400,1703834920,1356059790
2020,A04,巢,16_75~79技,8350,15375,2194519970,1765852290
2020,A04,巢,17_80~84技,5437,9953,2250715830,1786806640
2020,A04,巢,18_85技 捞惑,2584,5059,2113952220,1670737460
2020,A04,咯,01_0~4技,4274,6866,1422411150,1263286610
2020,A04,咯,02_5~9技,4739,6657,1009667400,861334910
2020,A04,咯,03_10~14技,6701,8922,965353560,813065300
2020,A04,咯,04_15~19技,16117,21526,1234244870,920385890
2020,A04,咯,05_20~24技,23559,29474,1745494810,1261479510
2020,A04,咯,06_25~29技,27271,34701,1808576820,1302958250
2020,A04,咯,07_30~34技,19864,25919,1221631190,872679340
2020,A04,咯,08_35~39技,19430,26348,1257563780,893132000
2020,A04,咯,09_40~44技,16752,23654,1162748680,827383680
2020,A04,咯,10_45~49技,17716,25756,1424568490,1030541630
2020,A04,咯,11_50~54技,18001,26308,1495358620,1089428330
2020,A04,咯,12_55~59技,18907,28380,1808118490,1330598130
2020,A04,咯,13_60~64技,18993,29662,2235183060,1675753750
2020,A04,咯,14_65~69技,15796,25880,2103306110,1662612750
2020,A04,咯,15_70~74技,13185,22686,2581324220,2037833280
2020,A04,咯,16_75~79技,11712,20893,3825995540,3049506190
2020,A04,咯,17_80~84技,8614,15696,5257816690,4188581390
2020,A04,咯,18_85技 捞惑,5265,9620,5305787440,4190974840
2020,A05,巢,01_0~4技,191,260,113959960,99998080
2020,A05,巢,02_5~9技,177,223,78413550,66823460
2020,A05,巢,03_10~14技,444,575,93496610,81004350
2020,A05,巢,04_15~19技,812,1057,87064760,67701790
2020,A05,巢,05_20~24技,801,961,51759990,38280430
2020,A05,巢,06_25~29技,1009,1217,60087560,43194960
2020,A05,巢,07_30~34技,764,917,47559800,34689250
2020,A05,巢,08_35~39技,751,904,35745360,25298430
2020,A05,巢,09_40~44技,649,837,34934740,25010810
2020,A05,巢,10_45~49技,727,917,60954760,45566920
2020,A05,巢,11_50~54技,736,976,46400010,33191810
2020,A05,巢,12_55~59技,732,1008,76339710,56805220
2020,A05,巢,13_60~64技,793,1150,67168240,49378370
2020,A05,巢,14_65~69技,629,956,62622680,49207320
2020,A05,巢,15_70~74技,536,833,52205700,41085850
2020,A05,巢,16_75~79技,474,774,60065520,47329600
2020,A05,巢,17_80~84技,299,563,32938180,26235690
2020,A05,巢,18_85技 捞惑,126,225,25832110,20253260
2020,A05,咯,01_0~4技,134,210,85667470,74271140
2020,A05,咯,02_5~9技,166,211,69650860,59719860
2020,A05,咯,03_10~14技,319,387,70501030,59488730
2020,A05,咯,04_15~19技,717,885,58766460,44682140
2020,A05,咯,05_20~24技,976,1167,64562320,46506920
2020,A05,咯,06_25~29技,1130,1385,65854180,47459120
2020,A05,咯,07_30~34技,783,994,50273530,36670050
2020,A05,咯,08_35~39技,756,945,59050370,43272820
2020,A05,咯,09_40~44技,771,1037,53714800,39425770
2020,A05,咯,10_45~49技,852,1112,63470890,46758670
2020,A05,咯,11_50~54技,907,1263,70434640,51236340
2020,A05,咯,12_55~59技,1009,1354,79654910,57675490
2020,A05,咯,13_60~64技,1077,1662,135962550,102386170
2020,A05,咯,14_65~69技,880,1401,80388830,63715720
2020,A05,咯,15_70~74技,752,1235,81013690,64866210
2020,A05,咯,16_75~79技,665,1134,79390110,62398660
2020,A05,咯,17_80~84技,537,1082,66460360,54551890
2020,A05,咯,18_85技 捞惑,306,609,106690550,83943690
2020,A06,巢,01_0~4技,111,255,5742180,4730970
2020,A06,巢,02_5~9技,105,203,6501080,5262810
2020,A06,巢,03_10~14技,49,74,6850700,5944770
2020,A06,巢,04_15~19技,62,83,10185020,7753910
2020,A06,巢,05_20~24技,88,109,17080580,12907690
2020,A06,巢,06_25~29技,125,177,12974340,8764300
2020,A06,巢,07_30~34技,89,124,3108830,1951330
2020,A06,巢,08_35~39技,107,162,11042690,7292860
2020,A06,巢,09_40~44技,88,140,12980030,9736940
2020,A06,巢,10_45~49技,91,232,33483670,25472670
2020,A06,巢,11_50~54技,66,126,57970640,53469700
2020,A06,巢,12_55~59技,128,205,18945660,14719680
2020,A06,巢,13_60~64技,95,164,29216020,21141980
2020,A06,巢,14_65~69技,97,182,7989370,5633180
2020,A06,巢,15_70~74技,104,191,18306790,13680830
2020,A06,巢,16_75~79技,95,173,12855260,10543880
2020,A06,巢,17_80~84技,63,114,27202890,20389840
2020,A06,巢,18_85技 捞惑,25,59,4241610,3215590
2020,A06,咯,01_0~4技,96,223,4626770,3847490
2020,A06,咯,02_5~9技,78,135,2110990,1574990
2020,A06,咯,03_10~14技,26,49,1716320,1337410
2020,A06,咯,04_15~19技,59,77,6977270,5245150
2020,A06,咯,05_20~24技,109,129,4476580,3167900
2020,A06,咯,06_25~29技,130,168,10636430,7747330
2020,A06,咯,07_30~34技,94,145,7013230,4974760
2020,A06,咯,08_35~39技,95,172,22731930,16344770
2020,A06,咯,09_40~44技,91,141,2620230,1781430
2020,A06,咯,10_45~49技,101,161,3860720,2509410
2020,A06,咯,11_50~54技,101,190,7731380,5478450
2020,A06,咯,12_55~59技,116,182,18971880,14261950
2020,A06,咯,13_60~64技,142,249,17836410,12171630
2020,A06,咯,14_65~69技,131,232,10216890,7899750
2020,A06,咯,15_70~74技,124,229,5854530,4397870
2020,A06,咯,16_75~79技,111,215,12643180,9742620
2020,A06,咯,17_80~84技,71,109,6589750,5193150
2020,A06,咯,18_85技 捞惑,50,80,22916370,16920450
2020,A07,巢,01_0~4技,4,6,360570,302070
2020,A07,巢,03_10~14技,6,6,96840,68040
2020,A07,巢,04_15~19技,12,14,255240,148040
2020,A07,巢,05_20~24技,18,18,314120,220720
2020,A07,巢,06_25~29技,27,28,596150,386450
2020,A07,巢,07_30~34技,15,16,348800,244900
2020,A07,巢,08_35~39技,19,21,439730,307130
2020,A07,巢,09_40~44技,25,30,481150,338150
2020,A07,巢,10_45~49技,32,35,539420,351820
2020,A07,巢,11_50~54技,41,52,858690,587690
2020,A07,巢,12_55~59技,33,40,1070150,731850
2020,A07,巢,13_60~64技,47,71,1332190,919090
2020,A07,巢,14_65~69技,36,49,910370,766270
2020,A07,巢,15_70~74技,28,40,569920,500820
2020,A07,巢,16_75~79技,27,37,551620,479020
2020,A07,巢,17_80~84技,9,22,290620,251320
2020,A07,巢,18_85技 捞惑,8,18,132000,114200
2020,A07,咯,01_0~4技,2,2,34140,27140
2020,A07,咯,02_5~9技,5,7,114910,80810
2020,A07,咯,03_10~14技,3,3,48420,34020
2020,A07,咯,04_15~19技,11,13,209830,147430
2020,A07,咯,05_20~24技,18,18,3141220,2172440
2020,A07,咯,06_25~29技,18,19,626430,439430
2020,A07,咯,07_30~34技,18,20,725740,403540
2020,A07,咯,08_35~39技,19,21,361030,253630
2020,A07,咯,09_40~44技,16,25,354850,249650
2020,A07,咯,10_45~49技,23,29,448160,313060
2020,A07,咯,11_50~54技,37,43,826530,564130
2020,A07,咯,12_55~59技,56,72,1138420,802420
2020,A07,咯,13_60~64技,44,65,1002870,705270
2020,A07,咯,14_65~69技,32,57,800210,703010
2020,A07,咯,15_70~74技,19,26,371700,331200
2020,A07,咯,16_75~79技,18,32,447080,388380
2020,A07,咯,17_80~84技,16,31,417800,366100
2020,A07,咯,18_85技 捞惑,12,13,170070,152570
2020,A08,巢,01_0~4技,30552,46106,4775744530,4246431300
2020,A08,巢,02_5~9技,21272,28816,1817290000,1502135750
2020,A08,巢,03_10~14技,13813,18532,1147741630,940105150
2020,A08,巢,04_15~19技,10768,14796,656128730,475678910
2020,A08,巢,05_20~24技,6313,7907,429609560,296980220
2020,A08,巢,06_25~29技,7593,8990,496777870,338519720
2020,A08,巢,07_30~34技,6266,7339,392170810,271450680
2020,A08,巢,08_35~39技,6315,7420,421505680,291890750
2020,A08,巢,09_40~44技,5120,6215,336241160,231125180
2020,A08,巢,10_45~49技,4834,6013,331691040,231222850
2020,A08,巢,11_50~54技,4106,5442,303417940,213055730
2020,A08,巢,12_55~59技,3834,5217,313124210,218805540
2020,A08,巢,13_60~64技,3690,5097,255634140,177749610
2020,A08,巢,14_65~69技,2977,4427,239344110,182761810
2020,A08,巢,15_70~74技,2558,4081,202186830,153418170
2020,A08,巢,16_75~79技,1969,3367,228339410,178063190
2020,A08,巢,17_80~84技,1312,2139,132606350,101396670
